timestamp,rpm,pitch_deg,blades,thrust_N,power_W,efficiency,disk_loading_N_m2,power_loading_N_W,tip_speed_m_s,tip_mach,cl,cd,source_file,t_s
2025-12-09 14:53:39.897580,2000.0,15.0,2,367.322300384416,187.74925563574087,19.19278856562962,467.68927851252647,1.9564514338052617,104.71975511965977,0.3053054085121276,1.5707963267948966,0.0100096189432334,simulation_20251209_145334.csv,5.728973
2025-12-09 14:53:40.016274,2000.0,15.0,2,367.322300384416,187.74925563574087,19.19278856562962,467.68927851252647,1.9564514338052617,104.71975511965977,0.3053054085121276,1.5707963267948966,0.0100096189432334,simulation_20251209_145334.csv,5.847667
2025-12-09 14:53:40.137819,2000.0,15.0,3,550.983450576624,281.62388345361137,19.192788565629623,701.5339177687898,1.956451433805262,104.71975511965977,0.3053054085121276,1.5707963267948966,0.0100096189432334,simulation_20251209_145334.csv,5.969212
2025-12-09 14:53:40.246927,2000.0,15.0,3,550.983450576624,281.62388345361137,19.192788565629623,701.5339177687898,1.956451433805262,104.71975511965977,0.3053054085121276,1.5707963267948966,0.0100096189432334,simulation_20251209_145334.csv,6.07832
2025-12-09 14:53:40.343103,2000.0,15.0,3,550.983450576624,281.62388345361137,19.192788565629623,701.5339177687898,1.956451433805262,104.71975511965977,0.3053054085121276,1.5707963267948966,0.0100096189432334,simulation_20251209_145334.csv,6.174496
2025-12-09 14:53:40.454928,2000.0,15.0,3,550.983450576624,281.62388345361137,19.192788565629623,701.5339177687898,1.956451433805262,104.71975511965977,0.3053054085121276,1.5707963267948966,0.0100096189432334,simulation_20251209_145334.csv,6.286321
2025-12-09 14:53:40.593047,2000.0,15.0,3,550.983450576624,281.62388345361137,19.192788565629623,701.5339177687898,1.956451433805262,104.71975511965977,0.3053054085121276,1.5707963267948966,0.0100096189432334,simulation_20251209_145334.csv,6.42444
2025-12-09 14:53:40.692259,2000.0,15.0,3,550.983450576624,281.62388345361137,19.192788565629623,701.5339177687898,1.956451433805262,104.71975511965977,0.3053054085121276,1.5707963267948966,0.0100096189432334,simulation_20251209_145334.csv,6.523652
2025-12-09 14:53:40.803943,2000.0,15.0,3,550.983450576624,281.62388345361137,19.192788565629623,701.5339177687898,1.956451433805262,104.71975511965977,0.3053054085121276,1.5707963267948966,0.0100096189432334,simulation_20251209_145334.csv,6.635336
2025-12-09 14:53:40.923514,2000.0,15.0,3,550.983450576624,281.62388345361137,19.192788565629623,701.5339177687898,1.956451433805262,104.71975511965977,0.3053054085121276,1.5707963267948966,0.0100096189432334,simulation_20251209_145334.csv,6.754907
2025-12-09 14:53:41.026742,2000.0,15.0,3,550.983450576624,281.62388345361137,19.192788565629623,701.5339177687898,1.956451433805262,104.71975511965977,0.3053054085121276,1.5707963267948966,0.0100096189432334,simulation_20251209_145334.csv,6.858135
2025-12-09 14:53:41.122112,2000.0,15.0,3,550.983450576624,281.62388345361137,19.192788565629623,701.5339177687898,1.956451433805262,104.71975511965977,0.3053054085121276,1.5707963267948966,0.0100096189432334,simulation_20251209_145334.csv,6.953505
