timestamp,rpm,pitch_deg,blades,thrust_N,power_W,efficiency,disk_loading_N_m2,power_loading_N_W,tip_speed_m_s,cl,cd
2025-12-08T22:44:36.357733,5000,0,1,0.0,1172.305213992817,0.0,0.0,0.0,261.79938779914943,0.0,0.008
2025-12-08T22:44:36.512152,5000,0,1,0.0,1172.305213992817,0.0,0.0,0.0,261.79938779914943,0.0,0.008
2025-12-08T22:44:36.629543,5000,0,1,0.0,1172.305213992817,0.0,0.0,0.0,261.79938779914943,0.0,0.008
2025-12-08T22:44:36.741302,5000,0,1,0.0,1172.305213992817,0.0,0.0,0.0,261.79938779914943,0.0,0.008
2025-12-08T22:44:36.847367,5000,0,1,0.0,1172.305213992817,0.0,0.0,0.0,261.79938779914943,0.0,0.008
2025-12-08T22:44:36.982360,5000,0,1,0.0,1172.305213992817,0.0,0.0,0.0,261.79938779914943,0.0,0.008
2025-12-08T22:44:37.085153,5000,0,1,0.0,1172.305213992817,0.0,0.0,0.0,261.79938779914943,0.0,0.008
2025-12-08T22:44:37.215665,5000,0,1,0.0,1172.305213992817,0.0,0.0,0.0,261.79938779914943,0.0,0.008
2025-12-08T22:44:37.335597,5000,0,1,0.0,1172.305213992817,0.0,0.0,0.0,261.79938779914943,0.0,0.008
2025-12-08T22:44:37.460244,5000,0,1,0.0,1172.305213992817,0.0,0.0,0.0,261.79938779914943,0.0,0.008
2025-12-08T22:44:37.585605,5000,0,1,0.0,1172.305213992817,0.0,0.0,0.0,261.79938779914943,0.0,0.008
2025-12-08T22:44:37.715820,5000,0,1,0.0,1172.305213992817,0.0,0.0,0.0,261.79938779914943,0.0,0.008
2025-12-08T22:44:37.860494,5000,0,1,0.0,1172.305213992817,0.0,0.0,0.0,261.79938779914943,0.0,0.008
2025-12-08T22:44:37.960838,5000,0,1,0.0,1172.305213992817,0.0,0.0,0.0,261.79938779914943,0.0,0.008
2025-12-08T22:44:38.072508,5000,0,1,0.0,1172.305213992817,0.0,0.0,0.0,261.79938779914943,0.0,0.008
2025-12-08T22:44:38.198082,5000,0,1,0.0,1172.305213992817,0.0,0.0,0.0,261.79938779914943,0.0,0.008
2025-12-08T22:44:38.320833,5000,0,1,0.0,1172.305213992817,0.0,0.0,0.0,261.79938779914943,0.0,0.008
2025-12-08T22:44:38.433415,5000,0,1,0.0,1172.305213992817,0.0,0.0,0.0,261.79938779914943,0.0,0.008
2025-12-08T22:44:38.565119,5000,0,1,0.0,1172.305213992817,0.0,0.0,0.0,261.79938779914943,0.0,0.008
2025-12-08T22:44:38.680804,5000,0,1,0.0,1172.305213992817,0.0,0.0,0.0,261.79938779914943,0.0,0.008
2025-12-08T22:44:38.803722,5000,0,1,0.0,1172.305213992817,0.0,0.0,0.0,261.79938779914943,0.0,0.008
2025-12-08T22:44:38.914482,5000,0,1,0.0,1172.305213992817,0.0,0.0,0.0,261.79938779914943,0.0,0.008
2025-12-08T22:44:39.064538,5000,0,1,0.0,1172.305213992817,0.0,0.0,0.0,261.79938779914943,0.0,0.008
2025-12-08T22:44:39.187127,5000,0,1,0.0,1172.305213992817,0.0,0.0,0.0,261.79938779914943,0.0,0.008
2025-12-08T22:44:39.290093,5000,0,1,0.0,1172.305213992817,0.0,0.0,0.0,261.79938779914943,0.0,0.008
2025-12-08T22:44:39.392715,5000,0,1,0.0,1172.305213992817,0.0,0.0,0.0,261.79938779914943,0.0,0.008
2025-12-08T22:44:39.499726,5000,0,1,0.0,1172.305213992817,0.0,0.0,0.0,261.79938779914943,0.0,0.008
2025-12-08T22:44:39.606433,5000,0,1,0.0,1172.305213992817,0.0,0.0,0.0,261.79938779914943,0.0,0.008
